ReviewID,ProductID,UserID,Rating,ReviewText,ReviewDate
REV2233,Product_E,User_117,1,poor quality. customer service was bad.,2023-11-16
REV2791,Product_C,User_117,4,great value. amazing features.,2024-08-29
REV2296,Product_C,User_169,1,difficult to use. would not recommend.,2024-02-29
REV2081,Product_A,User_185,5,love this product. easy to use.,2024-05-14
REV2875,Product_C,User_155,2,very disappointed. would not recommend.,2024-11-21
REV2978,Product_C,User_182,2,difficult to use. very disappointed. nothing special.,2024-05-18
REV2887,Product_A,User_122,5,best purchase ever. wonderful experience.,2024-06-18
REV2103,Product_C,User_150,2,very disappointed. one star.,2023-04-13
REV2947,Product_E,User_190,5,fantastic. wonderful experience. nothing special.,2024-05-01
REV2954,Product_D,User_124,2,one star. poor quality.,2023-08-03
REV2464,Product_B,User_191,3,nothing special. does not work.,2024-11-17
REV2650,Product_E,User_193,1,would not recommend. one star. neither good nor bad.,2024-01-01
REV2854,Product_A,User_158,5,love this product. works perfectly.,2024-01-18
REV2373,Product_C,User_106,1,poor quality. awful.,2023-03-11
REV2166,Product_E,User_159,4,excellent quality. love this product.,2023-03-23
REV2379,Product_A,User_138,3,it's okay. very disappointed.,2024-08-20
REV2363,Product_D,User_174,3,decent for the price. wonderful experience.,2023-05-17
REV2214,Product_E,User_157,3,neither good nor bad. exceeded expectations.,2023-01-31
REV2686,Product_C,User_155,4,fantastic. love this product.,2023-07-29
